source,target
LiveUru,_smartera
bia_hvid,ivanapais
f_galtieri,ProgettoRENA
f_galtieri,FLuccisano
lucliva,napo
f_galtieri,2020CityPlus
f_galtieri,dgiluz
muuffa,fedecolonna
muuffa,ChiaraPeggy
MassimoArcolin,aperdichizzi
MassimoArcolin,chrisiaio
MassimoArcolin,marcogy
EmilBanca,BolloAlessandro
smodeo86,aperdichizzi
StartupTweetSF,workingcapital
mrcfabbri,FraMazzocchi
OOPgiovani,RanghioFrance
OOPgiovani,stefanomicelli
ivanapais,ProgettoRENA
RRocelli,mariella_stella
RRocelli,ProgettoRENA
noemisatta,alessiobau
MattiaSullini,meedabyte
socialPA_RM,CentroAntartide
socialPA_RM,CittaBeniComuni
socialPA_RM,chrisiaio
ghirardinicola,PierG
ghirardinicola,napo
donatilor,mamacaluda
donatilor,napo
donatilor,Ravenna2019
f_galtieri,ProgettoRENA
f_galtieri,ivanapais
2020CityPlus,startsaturdays
2020CityPlus,damienlanfrey
FBrudaglio,Tukulti_Ninurta
FBrudaglio,MicheledAlena
ProgettoRENA,chrisiaio
BAMstracult,EmilBanca
BAMstracult,matteolepore
f_galtieri,Societing_SC
f_galtieri,chrisiaio
f_galtieri,Labsus1
frarusso,enzolefevre
frarusso,ProgettoRENA
BeCitySmart,matteolepore
metiuuitem,stefanomicelli
ProgettoRENA,fedepank
ProgettoRENA,clodcop
ProgettoRENA,ProgettoRENA
RRocelli,lorenzobenussi
RRocelli,FLuccisano
StartUpWeCan,sociolab_tweet
StartUpWeCan,meedabyte
StartUpWeCan,ChiaraPeggy
StartUpWeCan,ivanapais
MaxDelFerraro,larobbi
MaxDelFerraro,ProgettoRENA
Ale_Nigro,chrisiaio
Ale_Nigro,ProgettoRENA
babaulab,TorinoAnni10
babaulab,stefanomicelli
larobbi,f_galtieri
FraMazzocchi,FLuccisano
ProgettoRENA,FusacchiA
RosaBorgognoni,ProgettoRENA
Monithon,dclfbk
Monithon,chrisiaio
Monithon,Monithon
Monithon,ascuoladioc
beavillari,ProgettoRENA
czgavazzi,FusacchiA
Innovandiamo,FLuccisano
vignolimatteo,ProgettoRENA
paolocampagnano,ivanapais
pal_lore,TorinoAnni10
siboc,totididio
siboc,aborruso
siboc,napo
siboc,AmatPalermoSpA
siboc,ComunePalermo
dnaleph,Giank_Russo
dnaleph,hubspa
dnaleph,ProgettoRENA
isaangiuli,chrisiaio
isaangiuli,ProgettoRENA
bia_hvid,robertore62
bia_hvid,FLuccisano
bia_hvid,damienlanfrey
bia_hvid,ProgettoRENA
TorselloM,FLuccisano
TorselloM,GSRomeHub
cesenalab,andrecatta
AngeloBongio,ProgettoRENA
AngeloBongio,stefanomicelli
vivaioimprese,AleBezzi
TorinoAnni10,ivanapais
f_galtieri,MattiaSullini
LiveUru,f_galtieri
LiveUru,FLuccisano
catencina,FLuccisano
LiveUru,damienlanfrey
playgroundmary,FusacchiA
beavillari,ProgettoRENA
beavillari,FusacchiA
f_galtieri,ChiaraPeggy
f_galtieri,dgiluz
playgroundmary,stefanomicelli
Becrowdy,we4italy
LucaCominassi,damienlanfrey
LucaCominassi,ghirardinicola
LucaCominassi,dskutz
noemisatta,Socialseed_
FBrudaglio,AleBezzi
mrcfabbri,FBrudaglio
mrcfabbri,ProgettoRENA
MattiaSullini,ivanapais
indugiare,michiamofede
indugiare,AlessandroBollo
indugiare,CultPopSocCoop
AleBezzi,chrisiaio
frarusso,clarainbeta
frarusso,FLuccisano
frarusso,ProgettoRENA
TorinoAnni10,BolloAlessandro
siboc,f_galtieri
siboc,FLuccisano
MaxDelFerraro,okfnitaly
aperdichizzi,stefanomicelli
_Aloisi,MLetiziaGardoni
napo,larobbi
napo,istat_it
TorinoAnni10,Liberos2
TorinoAnni10,FLuccisano
